FileName,SegmentText,Start,End
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_1_folks roylott v twins.mp4,folks roylott v twins,13.64,18.05
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_2_aids pink project.mp4,aids pink project,15.86,20.6
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_3_primed pieces guide coded.mp4,primed pieces guide coded,20.6,26.36
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_4_block times got.mp4,block times got,23.96,29.36
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_5_nice surfaces paint job.mp4,nice surfaces paint job,26.36,32.0
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_6_walmart preparing.mp4,walmart preparing,29.36,35.33
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_7_get ready exterior paint job.mp4,get ready exterior paint job,32.0,37.69
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_8_inside tunnel tank.mp4,inside tunnel tank,35.33,40.67
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_9_inside fender.mp4,inside fender,37.69,42.65
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_10_care rear.mp4,care rear,40.67,44.57
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_11_fenders line.mp4,fenders line,42.65,47.08
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_12_camera.mp4,camera,44.57,48.89
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_13_primed anti.mp4,primed anti,47.08,51.19
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_14_corrosive primer took red scuff pad.mp4,corrosive primer took red scuff pad,48.89,53.96
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_15_scuff pad inside.mp4,scuff pad inside,51.19,57.22
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_16_area.mp4,area,53.96,59.23
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_17_welded brackets fender.mp4,welded brackets fender,57.22,60.58
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_18_little seam sealer.mp4,little seam sealer,59.23,62.78
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_19_pieces.mp4,pieces,60.58,64.15
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_20_tape paper.mp4,tape paper,62.78,66.35
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_21_outside flat.mp4,outside flat,64.15,68.21000000000001
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_22_block inside.mp4,block inside,66.35,69.83
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_23_paint job black.mp4,paint job black,68.21000000000001,71.81
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_24_clean.mp4,clean,69.83,73.82
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_25_get into spending.mp4,get into spending,71.81,76.28
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_26_lot time putting base coat clear.mp4,lot time putting base coat clear,73.82,77.78
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_27_coat inside.mp4,coat inside,76.28,79.64
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_28_fender nobody's.mp4,fender nobody's,77.78,81.2
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_29_sense.mp4,sense,79.64,82.97
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_30_tape.mp4,tape,81.2,86.06
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_31_trim block got nice.mp4,trim block got nice,82.97,87.95
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_32_semi gloss blacked.mp4,semi gloss blacked,86.06,89.3
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_33_inside.mp4,inside,87.95,91.58
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_34_inside tunnel.mp4,inside tunnel,89.3,93.11
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_35_tape get.mp4,tape get,91.58,96.95
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_36_stuff primed.mp4,stuff primed,93.11,99.41
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_37_setup get things get garage prep.mp4,setup get things get garage prep,96.95,102.4
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_38_get jigs.mp4,get jigs,99.41,104.65
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_39_get defenders.mp4,get defenders,102.4,106.73
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_40_tank mounted get ready paint.mp4,tank mounted get ready paint,104.65,108.95
C:\Users\chunc\Desktop\PROJECT\-ST-downloadCutter\data\nVbIUDjzWY4_segment_41_point come.mp4,point come,106.73,110.63
